Status,Age,Income,Client_Dependents,Tenure_Months,Products,Inactive_Months,Bank_Contacts,Credit_Limit,Revolving_Bal,Avg_OpenToBuy,Total_Trans_Amount,Trans_Count,Utilization_Ratio,Riesgo_Impago,Riesgo_Abandono,Puntaje_Riesgo
Attrited Customer,54,20000.0,1,40,2,3,1,1438.3,808,630.3,705,19,0.562,riesgo,Bajo,0.05858181818181818
Existing Customer,46,20000.0,0,54,3,4,2,3171.0,2179,992.0,1946,38,0.687,no_riesgo,Alto,0.13022659574468085
Existing Customer,49,120000.0,2,36,4,2,0,19763.0,2517,17246.0,1414,35,0.127,no_riesgo,Bajo,0.040975
Attrited Customer,56,120000.0,2,36,1,3,3,15769.0,0,15769.0,602,64,0.0,no_riesgo,Bajo,0.017543859649122806
Existing Customer,49,20000.0,4,36,6,4,2,3298.0,2200,1098.0,1052,32,0.667,no_riesgo,Alto,0.13
Existing Customer,49,20000.0,3,36,2,2,0,2802.0,2363,439.0,1295,40,0.176,no_riesgo,Alto,0.13815
Existing Customer,56,50000.0,2,50,4,2,3,4458.0,1880,2578.0,1424,29,0.422,no_riesgo,Bajo,0.05514385964912281
Existing Customer,44,50000.0,5,35,4,1,2,6273.0,978,5295.0,1359,25,0.156,no_riesgo,Bajo,0.04178222222222222
Existing Customer,42,70000.0,2,34,4,4,3,3336.0,1753,1583.0,1168,27,0.525,no_riesgo,Bajo,0.048298671096345516
Existing Customer,55,100000.0,3,47,4,2,3,3436.0,2016,1420.0,1097,33,0.587,no_riesgo,Bajo,0.03801714285714286
Attrited Customer,48,70000.0,2,35,2,4,4,4549.0,0,3474.0,691,64,0.0,no_riesgo,Bajo,0.02040816326530612
Existing Customer,39,70000.0,1,33,5,3,3,5926.0,1251,4675.0,1316,28,0.211,no_riesgo,Bajo,0.042871428571428574
Existing Customer,44,120000.0,4,32,2,4,2,23957.0,2102,21855.0,1276,26,0.088,no_riesgo,Bajo,0.03973888888888889
Existing Customer,53,120000.0,2,44,4,2,2,14734.0,1634,13100.0,1289,23,0.111,no_riesgo,Bajo,0.03213518518518518
Existing Customer,51,100000.0,4,38,4,1,4,4549.0,1515,3474.0,1293,32,0.044,no_riesgo,Bajo,0.03438076923076923
Existing Customer,57,70000.0,2,52,5,3,3,6584.0,1817,4767.0,1353,35,0.276,no_riesgo,Bajo,0.04319852216748768
Existing Customer,44,20000.0,2,20,6,3,3,2084.0,1468,616.0,1132,28,0.704,no_riesgo,Medio,0.09562222222222223
Existing Customer,49,70000.0,2,32,2,2,2,1687.0,1107,580.0,1670,64,0.656,riesgo,Medio,0.035814285714285715
Existing Customer,50,100000.0,2,38,6,2,2,25300.0,1330,23970.0,837,64,0.053,no_riesgo,Bajo,0.0329078431372549
Existing Customer,51,120000.0,4,42,3,2,3,4549.0,1763,3474.0,1550,41,0.051,no_riesgo,Bajo,0.0339224358974359
Existing Customer,55,20000.0,2,42,5,3,3,2216.0,1034,1182.0,1540,36,0.467,no_riesgo,Bajo,0.06955714285714286
Existing Customer,54,70000.0,1,43,4,2,3,2910.0,2030,880.0,1256,21,0.698,no_riesgo,Medio,0.047181818181818186
Existing Customer,42,100000.0,5,37,6,2,2,22913.0,1528,21385.0,1394,35,0.067,no_riesgo,Bajo,0.038535813953488374
Existing Customer,44,70000.0,1,35,3,3,3,24312.0,1932,22380.0,1341,24,0.079,no_riesgo,Bajo,0.049822222222222226
Existing Customer,53,100000.0,2,36,5,3,2,5272.0,1515,3757.0,1289,33,0.287,no_riesgo,Bajo,0.033668518518518514
Existing Customer,44,20000.0,4,36,6,4,2,7000.0,2517,4483.0,1112,23,0.36,no_riesgo,Medio,0.14807222222222222
Existing Customer,37,20000.0,3,29,4,4,2,7038.0,1801,5237.0,2339,57,0.256,no_riesgo,Bajo,0.11636578947368421
Existing Customer,49,70000.0,3,30,6,1,2,2536.0,1823,713.0,1468,23,0.719,no_riesgo,Medio,0.04604285714285714
Existing Customer,47,100000.0,2,38,6,3,2,4549.0,1899,3474.0,1334,35,0.066,no_riesgo,Bajo,0.039823333333333336
Existing Customer,47,70000.0,3,37,4,4,0,8567.0,1695,6872.0,1457,41,0.198,no_riesgo,Bajo,0.045047619047619045
Existing Customer,44,120000.0,1,36,6,2,2,4549.0,1533,3474.0,1603,29,0.044,no_riesgo,Bajo,0.03499722222222222
Attrited Customer,55,50000.0,4,45,2,4,3,2158.0,0,2158.0,615,64,0.0,no_riesgo,Bajo,0.017857142857142856
Existing Customer,59,50000.0,1,52,2,3,3,10133.0,1417,8716.0,1068,20,0.14,no_riesgo,Bajo,0.04500666666666667
Existing Customer,53,100000.0,1,35,5,4,2,4549.0,1219,3474.0,1590,27,0.035,no_riesgo,Bajo,0.030708518518518517
Existing Customer,52,70000.0,2,47,5,3,0,3085.0,1910,1175.0,1531,35,0.619,no_riesgo,Medio,0.04615363881401617
Existing Customer,53,120000.0,2,35,4,2,1,19040.0,2056,16984.0,1212,31,0.108,no_riesgo,Bajo,0.03565185185185185
Existing Customer,43,20000.0,3,35,5,2,3,4026.0,0,4026.0,1237,32,0.0,no_riesgo,Bajo,0.022727272727272728
Existing Customer,44,70000.0,3,31,4,3,1,12756.0,837,11919.0,1413,64,0.066,no_riesgo,Bajo,0.03417936507936508
Existing Customer,57,120000.0,2,45,5,3,3,5266.0,0,5266.0,1516,29,0.0,no_riesgo,Bajo,0.017241379310344827
Existing Customer,51,20000.0,2,36,3,2,2,9930.0,0,9930.0,1276,21,0.0,no_riesgo,Bajo,0.019230769230769232
Existing Customer,49,100000.0,4,38,4,3,0,4549.0,1953,3474.0,1564,35,0.062,no_riesgo,Bajo,0.039529999999999996
Existing Customer,45,50000.0,1,36,4,4,3,6576.0,0,6576.0,1465,34,0.0,no_riesgo,Bajo,0.021739130434782608
Existing Customer,53,100000.0,0,42,5,4,1,2664.0,2037,627.0,1286,29,0.765,no_riesgo,Medio,0.03888851851851852
Existing Customer,45,50000.0,3,28,5,1,2,2535.0,2440,95.0,1312,20,0.176,no_riesgo,Medio,0.0705391304347826
Existing Customer,46,20000.0,1,52,6,4,3,1709.0,895,814.0,1673,32,0.524,riesgo,Bajo,0.06602659574468085
Existing Customer,45,50000.0,3,35,5,4,2,3454.0,1200,2254.0,1313,30,0.347,no_riesgo,Bajo,0.04573913043478261
Existing Customer,53,50000.0,3,35,5,3,2,3789.0,1706,2083.0,1609,42,0.45,no_riesgo,Bajo,0.052638518518518515
Existing Customer,56,120000.0,3,50,3,2,0,9689.0,2250,7439.0,1158,19,0.232,no_riesgo,Bajo,0.03629385964912281
Attrited Customer,47,100000.0,2,37,2,3,3,5449.0,1628,3821.0,836,18,0.299,no_riesgo,Bajo,0.03711333333333333
Existing Customer,49,50000.0,3,43,4,4,0,23032.0,1960,21072.0,1289,22,0.085,no_riesgo,Bajo,0.0592
Existing Customer,41,50000.0,3,34,5,3,3,4549.0,2053,3474.0,1487,26,0.059,no_riesgo,Bajo,0.06486952380952381
Existing Customer,53,120000.0,3,34,6,2,2,2940.0,1264,1676.0,1259,33,0.43,no_riesgo,Bajo,0.02905185185185185
Existing Customer,44,20000.0,2,32,3,3,3,3031.0,1879,1152.0,1298,64,0.62,no_riesgo,Medio,0.11617222222222223
Existing Customer,44,70000.0,3,25,3,3,0,1862.0,0,1862.0,1226,34,0.0,riesgo,Bajo,0.022222222222222223
Existing Customer,43,20000.0,4,33,2,3,3,8358.0,926,7432.0,1566,37,0.111,no_riesgo,Bajo,0.06902727272727273
Existing Customer,53,120000.0,2,36,6,1,2,4549.0,931,3474.0,1022,21,0.027,no_riesgo,Bajo,0.02627685185185185
Existing Customer,44,70000.0,1,36,5,2,3,14450.0,2440,12010.0,1235,30,0.169,no_riesgo,Bajo,0.05707936507936508
Existing Customer,62,20000.0,1,56,6,0,0,1438.3,0,1438.3,1951,44,0.0,riesgo,Bajo,0.015873015873015872
Existing Customer,54,120000.0,4,36,6,3,2,4549.0,1960,3474.0,1047,31,0.058,no_riesgo,Bajo,0.03451515151515151
Existing Customer,57,70000.0,4,39,4,3,0,8466.0,1886,6580.0,1342,32,0.223,no_riesgo,Bajo,0.04418423645320197
Existing Customer,42,70000.0,3,36,5,3,3,15088.0,865,14223.0,1107,21,0.057,no_riesgo,Bajo,0.03561295681063123
Existing Customer,42,70000.0,4,36,5,1,2,3263.0,1674,1589.0,1251,35,0.513,no_riesgo,Bajo,0.047170099667774086
Existing Customer,54,20000.0,0,36,2,2,2,1494.0,706,788.0,1305,24,0.473,riesgo,Bajo,0.05348181818181818
Existing Customer,48,100000.0,3,35,6,1,0,13551.0,1294,12257.0,1388,37,0.095,no_riesgo,Bajo,0.033348163265306124
Existing Customer,49,100000.0,1,36,6,2,2,18886.0,895,17991.0,1235,18,0.047,no_riesgo,Bajo,0.02895
Existing Customer,52,100000.0,3,48,3,2,0,11976.0,1273,10703.0,2089,36,0.106,no_riesgo,Bajo,0.03159792452830189
Existing Customer,50,100000.0,3,39,4,1,4,9964.0,1559,8405.0,1626,25,0.156,no_riesgo,Bajo,0.0351978431372549
Existing Customer,49,70000.0,1,36,4,6,3,24159.0,1196,22963.0,1111,24,0.05,no_riesgo,Bajo,0.03708571428571429
Existing Customer,53,20000.0,2,44,3,2,3,5362.0,1901,3461.0,1553,38,0.355,no_riesgo,Bajo,0.11356851851851851
Existing Customer,50,120000.0,2,36,3,2,2,4549.0,1023,3474.0,1064,64,0.03,no_riesgo,Bajo,0.0281328431372549
Existing Customer,55,20000.0,1,36,4,1,0,3174.0,1951,1223.0,1243,29,0.615,no_riesgo,Medio,0.11540714285714285
Existing Customer,53,100000.0,1,47,3,2,2,12262.0,1836,10426.0,1659,38,0.15,no_riesgo,Bajo,0.03687851851851852
Existing Customer,47,50000.0,3,41,4,3,3,3788.0,1540,2248.0,1594,47,0.407,no_riesgo,Bajo,0.05163333333333334
Existing Customer,55,120000.0,2,42,2,3,2,4549.0,1527,3474.0,1268,42,0.044,no_riesgo,Bajo,0.030582142857142856
Existing Customer,47,70000.0,3,36,4,2,2,2926.0,0,2926.0,1304,24,0.0,no_riesgo,Bajo,0.020833333333333332
Existing Customer,58,120000.0,4,52,6,1,0,4549.0,0,3474.0,1368,30,0.0,no_riesgo,Bajo,0.01694915254237288
Attrited Customer,53,100000.0,2,41,3,3,2,11669.0,2227,9442.0,720,23,0.191,no_riesgo,Bajo,0.040788518518518516
Existing Customer,52,50000.0,2,45,3,1,2,13532.0,1300,12232.0,1521,29,0.096,no_riesgo,Bajo,0.044867924528301885
Existing Customer,50,20000.0,1,36,4,2,2,11888.0,2090,9798.0,1137,30,0.176,no_riesgo,Bajo,0.1241078431372549
Existing Customer,42,20000.0,1,36,5,1,2,2393.0,1985,408.0,978,64,0.176,no_riesgo,Medio,0.12250581395348838
Existing Customer,43,50000.0,4,39,5,1,2,6111.0,2517,3594.0,1221,64,0.412,no_riesgo,Bajo,0.07306727272727273
Existing Customer,57,100000.0,4,46,3,2,3,19270.0,1662,17608.0,1565,28,0.086,no_riesgo,Bajo,0.03386137931034483
Existing Customer,52,100000.0,1,43,3,1,4,3710.0,2517,1193.0,1578,34,0.678,no_riesgo,Medio,0.04403792452830189
Existing Customer,47,20000.0,2,37,2,1,3,3235.0,797,2438.0,1493,32,0.246,no_riesgo,Bajo,0.060683333333333325
Existing Customer,44,50000.0,3,38,3,1,0,11749.0,788,10961.0,1178,27,0.067,no_riesgo,Bajo,0.03798222222222222
Existing Customer,53,70000.0,2,36,5,3,2,7753.0,2100,5653.0,991,26,0.271,no_riesgo,Bajo,0.048518518518518516
Existing Customer,45,70000.0,4,40,5,1,0,10408.0,1186,9222.0,2560,42,0.114,no_riesgo,Bajo,0.03868198757763975
Existing Customer,46,50000.0,1,36,6,2,3,3967.0,1568,2399.0,1657,29,0.395,no_riesgo,Bajo,0.05263659574468085
Existing Customer,39,20000.0,2,27,4,2,2,6205.0,2517,3688.0,1204,19,0.406,no_riesgo,Medio,0.15084999999999998
Attrited Customer,48,20000.0,5,38,1,3,3,8025.0,0,8025.0,673,18,0.0,no_riesgo,Bajo,0.02040816326530612
Existing Customer,51,120000.0,1,42,6,2,3,9036.0,2327,6709.0,1131,18,0.258,no_riesgo,Bajo,0.0386224358974359
Existing Customer,54,100000.0,4,34,2,3,2,14926.0,2517,12409.0,1576,25,0.169,no_riesgo,Bajo,0.043351818181818186
Existing Customer,59,20000.0,1,36,3,2,3,6335.0,1128,5207.0,1217,20,0.178,no_riesgo,Bajo,0.07306666666666667
Attrited Customer,59,70000.0,1,53,2,3,3,14979.0,0,14979.0,530,64,0.0,no_riesgo,Bajo,0.016666666666666666
Attrited Customer,48,20000.0,4,38,3,2,3,2732.0,0,2732.0,739,64,0.0,no_riesgo,Bajo,0.02040816326530612
Existing Customer,41,20000.0,2,32,6,3,2,2250.0,2117,133.0,1617,31,0.176,no_riesgo,Alto,0.1296595238095238
Existing Customer,55,120000.0,2,50,3,2,0,10916.0,1536,9380.0,1592,34,0.141,no_riesgo,Bajo,0.030657142857142855
Existing Customer,47,50000.0,4,36,4,1,3,5349.0,1228,4121.0,1343,30,0.23,no_riesgo,Bajo,0.04539333333333333
Existing Customer,41,100000.0,2,24,4,1,3,9366.0,1104,8262.0,1303,39,0.118,no_riesgo,Bajo,0.03484952380952381
Existing Customer,40,100000.0,3,28,5,1,0,21617.0,0,21617.0,1351,22,0.0,no_riesgo,Bajo,0.024390243902439025
Existing Customer,46,50000.0,1,56,5,2,3,13860.0,1652,12208.0,1910,32,0.119,no_riesgo,Bajo,0.054316595744680854
Existing Customer,50,50000.0,1,31,2,2,3,18386.0,0,18386.0,1298,22,0.0,no_riesgo,Bajo,0.0196078431372549
Existing Customer,47,70000.0,4,41,6,2,2,2405.0,1540,865.0,1087,29,0.64,no_riesgo,Medio,0.042833333333333334
Existing Customer,53,20000.0,1,47,4,2,3,2154.0,930,1224.0,1439,26,0.432,no_riesgo,Bajo,0.06501851851851852
Existing Customer,42,50000.0,5,36,3,3,3,2038.0,0,2038.0,1238,28,0.0,no_riesgo,Bajo,0.023255813953488372
Existing Customer,48,50000.0,4,38,6,1,3,8135.0,0,8135.0,1716,29,0.0,no_riesgo,Bajo,0.02040816326530612
Existing Customer,49,120000.0,1,38,6,1,3,9364.0,618,8746.0,1099,27,0.066,no_riesgo,Bajo,0.02515
Existing Customer,44,50000.0,2,35,4,3,2,4549.0,0,3474.0,1058,24,0.0,no_riesgo,Bajo,0.022222222222222223
Existing Customer,43,20000.0,4,34,2,3,1,3195.0,1954,1241.0,1285,29,0.612,no_riesgo,Medio,0.12042727272727272
Existing Customer,56,100000.0,0,43,5,2,1,2852.0,1024,1828.0,1651,28,0.359,no_riesgo,Bajo,0.027783859649122805
Existing Customer,59,50000.0,1,36,2,3,3,4224.0,1305,2919.0,1152,31,0.309,no_riesgo,Bajo,0.04276666666666667
Existing Customer,46,70000.0,1,36,3,2,2,20459.0,2071,18388.0,1767,38,0.101,no_riesgo,Bajo,0.05086231003039514
Existing Customer,47,20000.0,4,41,6,5,3,3482.0,2114,1368.0,1039,24,0.607,no_riesgo,Alto,0.12653333333333333
Existing Customer,50,50000.0,4,40,5,2,3,3065.0,1570,1495.0,1130,28,0.512,no_riesgo,Bajo,0.0510078431372549
Existing Customer,51,20000.0,3,43,3,1,2,2185.0,1761,424.0,1645,30,0.806,riesgo,Medio,0.10728076923076924
Existing Customer,47,20000.0,3,36,4,1,0,1611.0,746,865.0,1413,29,0.463,riesgo,Bajo,0.05813333333333333
Existing Customer,58,20000.0,4,47,3,3,3,2822.0,2173,649.0,1218,23,0.77,no_riesgo,Medio,0.1255991525423729
Attrited Customer,46,100000.0,5,33,6,3,3,4549.0,2517,3474.0,597,64,0.076,no_riesgo,Bajo,0.04644659574468085
Existing Customer,53,70000.0,3,47,5,2,2,1438.3,0,1438.3,2184,53,0.0,riesgo,Bajo,0.018518518518518517
Existing Customer,45,50000.0,4,36,4,3,3,15875.0,1719,14156.0,1592,37,0.108,no_riesgo,Bajo,0.05611913043478261
Existing Customer,52,20000.0,1,45,6,3,3,6703.0,893,5810.0,1388,28,0.133,no_riesgo,Bajo,0.06351792452830189
Attrited Customer,53,100000.0,2,36,2,2,1,3212.0,0,3212.0,757,20,0.0,no_riesgo,Bajo,0.018518518518518517
Existing Customer,50,100000.0,2,45,3,1,3,4549.0,1260,3474.0,1504,34,0.037,no_riesgo,Bajo,0.0322078431372549
Existing Customer,41,50000.0,3,36,4,1,2,9797.0,1434,8363.0,1503,34,0.146,no_riesgo,Bajo,0.052489523809523805
Existing Customer,45,50000.0,5,36,5,2,2,10400.0,1777,8623.0,1105,28,0.171,no_riesgo,Bajo,0.05727913043478261
Existing Customer,53,100000.0,3,42,2,1,2,26792.0,1836,24956.0,2398,47,0.069,no_riesgo,Bajo,0.03687851851851852
Existing Customer,46,20000.0,1,56,4,3,2,3006.0,2517,489.0,1661,32,0.176,no_riesgo,Alto,0.14712659574468084
Existing Customer,57,50000.0,2,36,6,3,0,19482.0,1072,18410.0,1421,22,0.055,no_riesgo,Bajo,0.03868137931034483
Existing Customer,59,50000.0,1,36,4,2,3,3356.0,985,2371.0,999,28,0.294,no_riesgo,Bajo,0.036366666666666665
Existing Customer,45,50000.0,2,34,3,2,1,5771.0,2248,3523.0,1387,18,0.39,no_riesgo,Bajo,0.06669913043478261
Existing Customer,51,100000.0,3,36,6,2,3,11106.0,2107,8999.0,1243,24,0.19,no_riesgo,Bajo,0.04030076923076923
Existing Customer,59,20000.0,1,54,5,3,0,2890.0,2001,889.0,1860,36,0.692,no_riesgo,Medio,0.11671666666666666
Existing Customer,53,70000.0,1,45,6,2,2,3380.0,1701,1679.0,1502,25,0.503,no_riesgo,Bajo,0.04281851851851852
Existing Customer,47,70000.0,3,36,2,1,2,21331.0,1251,20080.0,1460,50,0.059,no_riesgo,Bajo,0.03870476190476191
Existing Customer,49,50000.0,3,38,6,2,1,12860.0,0,12860.0,1348,27,0.0,no_riesgo,Bajo,0.02
Existing Customer,49,100000.0,3,33,3,1,0,6278.0,462,5816.0,1087,33,0.074,no_riesgo,Bajo,0.02462
Existing Customer,60,20000.0,0,55,5,1,3,1438.3,738,700.3,1226,33,0.513,riesgo,Bajo,0.053293442622950826
Existing Customer,50,20000.0,2,36,5,1,2,9355.0,1626,7729.0,1230,28,0.174,no_riesgo,Bajo,0.1009078431372549
Existing Customer,41,50000.0,2,31,6,1,3,20758.0,0,20758.0,1555,32,0.0,no_riesgo,Bajo,0.023809523809523808
Existing Customer,57,100000.0,1,47,5,3,1,14612.0,1976,12636.0,1827,24,0.135,no_riesgo,Bajo,0.03700137931034483
Existing Customer,43,100000.0,4,27,5,2,0,4549.0,0,3474.0,1376,35,0.0,no_riesgo,Bajo,0.022727272727272728
Existing Customer,57,20000.0,3,47,4,2,3,6347.0,1594,4753.0,1771,37,0.251,no_riesgo,Bajo,0.09694137931034483
Existing Customer,54,120000.0,3,41,3,3,0,21592.0,1676,19916.0,1873,52,0.078,no_riesgo,Bajo,0.03214848484848485
Existing Customer,51,20000.0,5,44,5,1,1,3449.0,1598,1851.0,1679,42,0.463,no_riesgo,Bajo,0.09913076923076923
Existing Customer,47,20000.0,3,34,2,1,2,6028.0,799,5229.0,1002,22,0.133,no_riesgo,Bajo,0.06078333333333333
Existing Customer,41,120000.0,0,36,3,2,3,18214.0,1998,16216.0,1344,21,0.11,no_riesgo,Bajo,0.040459523809523806
Existing Customer,53,100000.0,3,43,3,3,1,16393.0,1423,14970.0,1461,42,0.087,no_riesgo,Bajo,0.03274851851851852
Attrited Customer,46,20000.0,0,52,1,3,2,1438.3,900,538.3,760,21,0.626,riesgo,Medio,0.06627659574468085
Existing Customer,59,70000.0,1,36,4,1,2,7871.0,1687,6184.0,1428,22,0.214,no_riesgo,Bajo,0.040766666666666666
Existing Customer,48,100000.0,4,36,5,3,0,5288.0,866,4422.0,1777,42,0.164,no_riesgo,Bajo,0.02906816326530612
Existing Customer,44,70000.0,5,32,4,5,3,11376.0,2006,9370.0,1302,27,0.176,no_riesgo,Bajo,0.05087936507936508
Existing Customer,48,100000.0,3,41,4,5,3,12302.0,1632,10670.0,1483,41,0.133,no_riesgo,Bajo,0.03672816326530612
Existing Customer,47,70000.0,4,33,3,2,1,4549.0,1679,3474.0,1060,27,0.049,no_riesgo,Bajo,0.04481904761904762
Existing Customer,47,70000.0,2,32,4,2,2,4549.0,1468,3474.0,1330,32,0.043,no_riesgo,Bajo,0.0418047619047619
Existing Customer,43,20000.0,1,35,3,2,2,10514.0,1580,8934.0,1229,27,0.15,no_riesgo,Bajo,0.10172727272727272
Attrited Customer,55,20000.0,2,43,2,4,3,1438.3,0,1438.3,886,27,0.0,riesgo,Bajo,0.017857142857142856
Attrited Customer,59,70000.0,2,46,3,3,3,1438.3,0,1438.3,844,24,0.0,riesgo,Bajo,0.016666666666666666
